Lr: 2.146e-03 | Update: 1.246e-03 mean,2.433e-03 std | Epoch: [0][340/1594] | Time 3.865 (3.837) | Data 0.513 (0.528) | Loss 0.2612 (0.6671) | acc 0.129 (0.069) | IoU 0.125 (0.068) | [12 days, 1:25:54]
Lr: 2.208e-03 | Update: 1.489e-03 mean,2.697e-03 std | Epoch: [0][350/1594] | Time 4.115 (3.842) | Data 0.534 (0.527) | Loss 0.2603 (0.6550) | acc 0.132 (0.071) | IoU 0.128 (0.069) | [12 days, 1:44:48]
Lr: 2.271e-03 | Update: 1.085e-03 mean,2.064e-03 std | Epoch: [0][360/1594] | Time 4.033 (3.847) | Data 0.536 (0.528) | Loss 0.2338 (0.6439) | acc 0.135 (0.073) | IoU 0.132 (0.071) | [12 days, 2:07:50]
Lr: 2.334e-03 | Update: 9.708e-04 mean,2.049e-03 std | Epoch: [0][370/1594] | Time 3.955 (3.852) | Data 0.524 (0.527) | Loss 0.2225 (0.6330) | acc 0.138 (0.074) | IoU 0.134 (0.073) | [12 days, 2:26:17]
Lr: 2.396e-03 | Update: 1.866e-03 mean,3.498e-03 std | Epoch: [0][380/1594] | Time 4.007 (3.857) | Data 0.531 (0.527) | Loss 0.3066 (0.6230) | acc 0.142 (0.076) | IoU 0.138 (0.074) | [12 days, 2:41:52]
Lr: 2.459e-03 | Update: 1.070e-03 mean,2.113e-03 std | Epoch: [0][390/1594] | Time 3.990 (3.862) | Data 0.515 (0.527) | Loss 0.2234 (0.6128) | acc 0.146 (0.078) | IoU 0.141 (0.076) | [12 days, 3:01:33]
Lr: 2.522e-03 | Update: 1.292e-03 mean,2.424e-03 std | Epoch: [0][400/1594] | Time 4.006 (3.867) | Data 0.503 (0.527) | Loss 0.2120 (0.6038) | acc 0.149 (0.079) | IoU 0.145 (0.078) | [12 days, 3:19:50]
Lr: 2.585e-03 | Update: 2.192e-03 mean,3.946e-03 std | Epoch: [0][410/1594] | Time 4.006 (3.870) | Data 0.530 (0.527) | Loss 0.2798 (0.5954) | acc 0.152 (0.081) | IoU 0.148 (0.079) | [12 days, 3:31:17]
Lr: 2.647e-03 | Update: 1.157e-03 mean,2.255e-03 std | Epoch: [0][420/1594] | Time 4.129 (3.873) | Data 0.537 (0.527) | Loss 0.2011 (0.5871) | acc 0.156 (0.083) | IoU 0.151 (0.081) | [12 days, 3:41:52]
Lr: 2.710e-03 | Update: 9.467e-04 mean,1.841e-03 std | Epoch: [0][430/1594] | Time 4.056 (3.877) | Data 0.516 (0.527) | Loss 0.2107 (0.5785) | acc 0.159 (0.085) | IoU 0.154 (0.083) | [12 days, 3:55:41]
Lr: 2.773e-03 | Update: 9.611e-04 mean,1.804e-03 std | Epoch: [0][440/1594] | Time 4.024 (3.880) | Data 0.508 (0.527) | Loss 0.1930 (0.5702) | acc 0.162 (0.086) | IoU 0.157 (0.084) | [12 days, 4:08:13]
Lr: 2.836e-03 | Update: 1.335e-03 mean,2.471e-03 std | Epoch: [0][450/1594] | Time 3.953 (3.882) | Data 0.506 (0.527) | Loss 0.2193 (0.5623) | acc 0.165 (0.088) | IoU 0.160 (0.086) | [12 days, 4:14:29]
Lr: 2.898e-03 | Update: 1.019e-03 mean,1.946e-03 std | Epoch: [0][460/1594] | Time 4.021 (3.885) | Data 0.508 (0.526) | Loss 0.2030 (0.5547) | acc 0.168 (0.090) | IoU 0.163 (0.088) | [12 days, 4:24:24]
Lr: 2.961e-03 | Update: 1.706e-03 mean,3.036e-03 std | Epoch: [0][470/1594] | Time 4.290 (3.887) | Data 0.536 (0.526) | Loss 0.2232 (0.5477) | acc 0.171 (0.092) | IoU 0.166 (0.089) | [12 days, 4:33:15]
Lr: 3.024e-03 | Update: 1.036e-03 mean,1.927e-03 std | Epoch: [0][480/1594] | Time 3.913 (3.889) | Data 0.508 (0.526) | Loss 0.1868 (0.5406) | acc 0.174 (0.093) | IoU 0.169 (0.091) | [12 days, 4:38:59]
Lr: 3.087e-03 | Update: 7.568e-04 mean,1.507e-03 std | Epoch: [0][490/1594] | Time 4.120 (3.890) | Data 0.505 (0.526) | Loss 0.1840 (0.5335) | acc 0.177 (0.095) | IoU 0.172 (0.093) | [12 days, 4:41:24]
Lr: 3.149e-03 | Update: 8.681e-04 mean,1.829e-03 std | Epoch: [0][500/1594] | Time 3.894 (3.891) | Data 0.512 (0.526) | Loss 0.1864 (0.5267) | acc 0.180 (0.097) | IoU 0.175 (0.094) | [12 days, 4:45:56]
Lr: 3.212e-03 | Update: 2.642e-03 mean,5.525e-03 std | Epoch: [0][510/1594] | Time 4.077 (3.894) | Data 0.549 (0.526) | Loss 0.1949 (0.5203) | acc 0.184 (0.098) | IoU 0.178 (0.096) | [12 days, 4:54:56]
Lr: 3.275e-03 | Update: 1.471e-03 mean,2.669e-03 std | Epoch: [0][520/1594] | Time 4.106 (3.897) | Data 0.542 (0.526) | Loss 0.1920 (0.5142) | acc 0.187 (0.100) | IoU 0.180 (0.097) | [12 days, 5:05:38]
Lr: 3.338e-03 | Update: 8.794e-04 mean,1.769e-03 std | Epoch: [0][530/1594] | Time 4.079 (3.899) | Data 0.567 (0.526) | Loss 0.1835 (0.5080) | acc 0.189 (0.102) | IoU 0.183 (0.099) | [12 days, 5:13:31]
Lr: 3.400e-03 | Update: 1.107e-03 mean,2.096e-03 std | Epoch: [0][540/1594] | Time 3.788 (3.900) | Data 0.508 (0.526) | Loss 0.1728 (0.5027) | acc 0.192 (0.103) | IoU 0.186 (0.101) | [12 days, 5:17:00]
Lr: 3.463e-03 | Update: 1.036e-03 mean,1.820e-03 std | Epoch: [0][550/1594] | Time 3.868 (3.902) | Data 0.510 (0.526) | Loss 0.1748 (0.4974) | acc 0.195 (0.105) | IoU 0.188 (0.102) | [12 days, 5:23:02]
Lr: 3.526e-03 | Update: 8.410e-04 mean,1.647e-03 std | Epoch: [0][560/1594] | Time 3.944 (3.903) | Data 0.504 (0.526) | Loss 0.2004 (0.4922) | acc 0.197 (0.107) | IoU 0.191 (0.104) | [12 days, 5:25:48]
Lr: 3.588e-03 | Update: 1.665e-03 mean,3.083e-03 std | Epoch: [0][570/1594] | Time 3.917 (3.904) | Data 0.498 (0.526) | Loss 0.1646 (0.4869) | acc 0.200 (0.108) | IoU 0.193 (0.105) | [12 days, 5:29:45]
Lr: 3.651e-03 | Update: 1.032e-03 mean,1.863e-03 std | Epoch: [0][580/1594] | Time 3.936 (3.905) | Data 0.502 (0.525) | Loss 0.1669 (0.4821) | acc 0.203 (0.110) | IoU 0.196 (0.107) | [12 days, 5:33:58]
Lr: 3.714e-03 | Update: 6.761e-04 mean,1.458e-03 std | Epoch: [0][590/1594] | Time 3.997 (3.907) | Data 0.582 (0.525) | Loss 0.1970 (0.4772) | acc 0.205 (0.111) | IoU 0.198 (0.108) | [12 days, 5:38:14]
Lr: 3.777e-03 | Update: 1.953e-03 mean,3.425e-03 std | Epoch: [0][600/1594] | Time 4.212 (3.908) | Data 0.544 (0.526) | Loss 0.2235 (0.4722) | acc 0.208 (0.113) | IoU 0.201 (0.110) | [12 days, 5:45:32]
Lr: 3.839e-03 | Update: 7.329e-04 mean,1.319e-03 std | Epoch: [0][610/1594] | Time 3.965 (3.910) | Data 0.515 (0.526) | Loss 0.1625 (0.4674) | acc 0.211 (0.115) | IoU 0.203 (0.111) | [12 days, 5:51:39]
Lr: 3.902e-03 | Update: 8.120e-04 mean,1.516e-03 std | Epoch: [0][620/1594] | Time 4.020 (3.911) | Data 0.549 (0.526) | Loss 0.1538 (0.4626) | acc 0.213 (0.116) | IoU 0.206 (0.113) | [12 days, 5:56:12]
Lr: 3.965e-03 | Update: 6.459e-04 mean,1.358e-03 std | Epoch: [0][630/1594] | Time 3.971 (3.912) | Data 0.514 (0.526) | Loss 0.1571 (0.4582) | acc 0.216 (0.118) | IoU 0.209 (0.114) | [12 days, 5:57:58]
Lr: 4.028e-03 | Update: 7.807e-04 mean,1.444e-03 std | Epoch: [0][640/1594] | Time 3.936 (3.913) | Data 0.533 (0.526) | Loss 0.1756 (0.4537) | acc 0.219 (0.119) | IoU 0.211 (0.116) | [12 days, 6:00:59]
Lr: 4.090e-03 | Update: 8.234e-04 mean,1.567e-03 std | Epoch: [0][650/1594] | Time 3.988 (3.914) | Data 0.515 (0.526) | Loss 0.1450 (0.4495) | acc 0.222 (0.121) | IoU 0.214 (0.117) | [12 days, 6:05:49]
Lr: 4.153e-03 | Update: 6.923e-04 mean,1.267e-03 std | Epoch: [0][660/1594] | Time 4.073 (3.917) | Data 0.529 (0.526) | Loss 0.1395 (0.4451) | acc 0.225 (0.122) | IoU 0.217 (0.119) | [12 days, 6:13:59]
Lr: 4.216e-03 | Update: 2.084e-03 mean,3.717e-03 std | Epoch: [0][670/1594] | Time 3.979 (3.918) | Data 0.510 (0.526) | Loss 0.1521 (0.4410) | acc 0.228 (0.124) | IoU 0.220 (0.120) | [12 days, 6:18:31]
Lr: 4.279e-03 | Update: 1.339e-03 mean,2.349e-03 std | Epoch: [0][680/1594] | Time 3.991 (3.918) | Data 0.503 (0.525) | Loss 0.1715 (0.4370) | acc 0.231 (0.125) | IoU 0.222 (0.122) | [12 days, 6:18:14]
Lr: 4.341e-03 | Update: 9.947e-04 mean,1.790e-03 std | Epoch: [0][690/1594] | Time 3.939 (3.919) | Data 0.509 (0.525) | Loss 0.1853 (0.4332) | acc 0.233 (0.127) | IoU 0.225 (0.123) | [12 days, 6:20:15]
Lr: 4.404e-03 | Update: 1.069e-03 mean,2.131e-03 std | Epoch: [0][700/1594] | Time 4.002 (3.920) | Data 0.542 (0.525) | Loss 0.2038 (0.4295) | acc 0.236 (0.129) | IoU 0.227 (0.125) | [12 days, 6:20:56]
Lr: 4.467e-03 | Update: 1.016e-03 mean,1.880e-03 std | Epoch: [0][710/1594] | Time 3.876 (3.920) | Data 0.538 (0.525) | Loss 0.1686 (0.4259) | acc 0.239 (0.130) | IoU 0.230 (0.126) | [12 days, 6:19:47]
Lr: 4.529e-03 | Update: 1.054e-03 mean,1.871e-03 std | Epoch: [0][720/1594] | Time 3.871 (3.920) | Data 0.525 (0.525) | Loss 0.1715 (0.4223) | acc 0.242 (0.132) | IoU 0.233 (0.128) | [12 days, 6:18:52]
Lr: 4.592e-03 | Update: 1.192e-03 mean,2.047e-03 std | Epoch: [0][730/1594] | Time 4.147 (3.920) | Data 0.507 (0.525) | Loss 0.1621 (0.4186) | acc 0.244 (0.133) | IoU 0.235 (0.129) | [12 days, 6:19:19]
Lr: 4.655e-03 | Update: 6.685e-04 mean,1.360e-03 std | Epoch: [0][740/1594] | Time 3.766 (3.921) | Data 0.535 (0.525) | Loss 0.1424 (0.4150) | acc 0.247 (0.135) | IoU 0.238 (0.131) | [12 days, 6:20:21]
